EmpID,FirstName,Middle Initial,LastName,EMail,SSN,Phone No. ,PlaceName,County,City,State,Zip,Region,UserName,Password
850297,Shawna,W,Buck,shawna.buck@gmail.com,222-11-7603,702-771-7149,Las Vegas,Clark,Las Vegas,NV,89128,West,swbuck,ja8?k3BTF^]o@<&
304721,Nathaniel,Z,Burke,nathaniel.burke@walmart.com,550-99-9897,231-765-6923,Irons,Lake,Irons,MI,49644,Midwest,nzburke,tPA@4Wh9Ja$+Ln
412317,Elisabeth,W,Foster,elisabeth.foster@gmail.com,215-91-0004,270-749-4774,Lexington,Fayette,Lexington,KY,40501,South,ewfoster,5D.B4IGNkWJfG<~
621375,Briana,C,Lancaster,briana.lancaster@yahoo.com,534-71-1053,219-623-8216,Munster,Lake,Munster,IN,46321,Midwest,bclancaster,I%?JDM;pW
787549,Estella,L,Potter,estella.potter@gmail.com,644-29-6396,907-677-8486,Fairbanks,Fairbanks North Star,Fairbanks,AK,99709,West,elpotter,j4jkEXfC&Rh
520092,Lamont,L,Woods,lamont.woods@hotmail.com,037-74-2595,236-597-8196,Purcellville,Loudoun,Purcellville,VA,20134,South,llwoods,8tf/YU}>s
795934,Melinda,L,Lopez,melinda.lopez@hotmail.com,541-83-6362,210-396-1493,Stowell,Chambers,Stowell,TX,77661,South,mllopez,hf*&Gcb[
159108,Shanna,U,Silva,shanna.silva@gmail.com,673-48-7003,236-373-6712,Herndon,Fairfax,Herndon,VA,20171,South,susilva,oudj2Bq4vc2_{PU
330816,Jasmine,J,Freeman,jasmine.freeman@gmail.com,600-99-8437,423-796-1535,Ocoee,Polk,Ocoee,TN,37361,South,jjfreeman,Q.8<Q>K*H\*6f
532002,Madge,V,Sargent,madge.sargent@aol.com,177-86-7347,217-910-0644,Springfield,Sangamon,Springfield,IL,62712,Midwest,mvsargent,bc\&B81h
612850,Bethany,Z,Cline,bethany.cline@yahoo.ca,700-18-6519,215-970-5881,Montgomery,Lycoming,Montgomery,PA,17752,Northeast,bzcline,6wvl^0+zl.b/1
483751,Reid,F,Randolph,reid.randolph@gmail.com,343-11-4951,209-996-8902,Pacoima,Los Angeles,Pacoima,CA,91331,West,rfrandolph,Uc@^[]cqnZs
252938,Antoine,H,Wiley,antoine.wiley@verizon.net,078-02-8772,503-361-6334,Canby,Clackamas,Canby,OR,97013,West,ahwiley,r~4%7~uU|I<4CJ
